,,,MAPE Performance Comparison,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CPU-TA < baseline,CPU-TA <> baseline,baseline < CPU-TA,,,,,,,,,,,,,,,,,,,,,,,,,
Prediction Group,Scenarios,Win (p<0.05),Tie (p>0.05),Loss (p<0.05),Error Range,,,,,,,,,,,,,,,,,,,,,,,,
CPU,74,20,40,14,1% to 4%,,,,,,,,,,,,,,,,,,,,,,,,
Memory,96,37,44,15,1.5% to 5%,,,,,,,,,,,,,,,,,,,,,,,,
AWS to IBM,24,8,9,7,3% to 8%,,,,,,,,,,,,,,,,,,,,,,,,
IBM,254,84,91,79,7% to 17%,,,,,,,,,,,,,,,,,,,,,,,,
Sysbench,33,0,0,33,20% to 30%,,,,,,,,,,,,,,,,,,,,,,,,
Firecracker,90,32,37,21,2% to 6%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classic AWS CPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,process,workload,MAPE,SAPE,sDF,tDF,sSTDEV,tSTDEV,sAverage,tAverage,sCV,tCV,sUser,sIdle,sKern,tUser,tIdle,tKern,sLTAMape,tLTAMape,wassersteinDistance,minMape,minWasserstein,meanOffset,stdOffset,tStat,pValue,tStatTarget,pValueTarget
X512MB_v2_6->X512MB_v3_6,Regression,SCNMT2,4.167,1925.154,462,66,2051.422,1727.562,9686.396,8179.045,0.212,0.211,0.895,0.104,0.001,0.955,0.043,0.001,0.208,0.174,354.154,2.453,209.255,273.55,188.242,0.722,0.371,0.19,0.506
X256MB_v2_13->X256MB_v3_13,RegressionRuntime,SCNMT2,2.563,1466.036,572,143,4251.172,3701.081,19986.962,17311.063,0.213,0.214,0.944,0.055,0.001,0.98,0.019,0.001,0.262,0.261,439.41,1.838,320.515,244.212,355.443,0.299,0.595,0.299,0.573
X512MB_v3_6->X512MB_v4_6,Regression,SCMT2,4.901,323.466,66,528,5054.061,5368.692,23374.773,25738.625,0.216,0.209,0.956,0.043,0.001,0.953,0.046,0.001,0.175,0.133,1280.944,0.972,244.478,1179.242,624.408,-0.322,0.615,-0.514,0.511
X2GB_v3->X2GB_v4,RegressionRuntime,SCNMT2,3.298,573.852,174,626,518.881,501.646,2484.793,2382.495,0.209,0.211,0.524,0.475,0.001,0.525,0.475,0.001,0.375,0.38,81.129,2.382,55.82,75.443,22.558,0.392,0.53,0.503,0.32
X512MB_v2_6->X512MB_v3_6,RegressionRuntime,SCMT2,4.265,1970.43,462,66,11837.439,5054.061,44088.041,23374.773,0.268,0.216,0.901,0.098,0.001,0.956,0.043,0.001,0.236,0.175,998.426,2.448,579.22,627.716,642.365,0.561,0.502,-0.201,0.547
X2GB_v2->X2GB_v3,Regression,SCNMT2,4.921,1456.616,296,174,490.185,518.881,2347.017,2484.793,0.209,0.209,0.573,0.426,0.001,0.524,0.475,0.001,0.288,0.375,115.588,3.43,79.191,109.708,32.595,-0.78,0.323,-0.641,0.287
X256MB_v2_13->X256MB_v4_13,RegressionRuntime,SCNMT2,3.887,2223.364,572,169,4251.172,3778.553,19986.962,15922.669,0.213,0.237,0.944,0.055,0.001,0.98,0.019,0.002,0.262,0.306,623.352,1.902,259.481,563.191,212.37,-1.176,0.322,-0.239,0.663
X2GB_v2->X2GB_v3,RegressionRuntime,SCMT2,3.032,900.504,297,176,2035.06,1285.88,7770.481,6264.006,0.262,0.205,0.586,0.413,0.001,0.525,0.474,0.001,0.628,0.538,179.293,2.626,143.829,148.534,106.108,0.127,0.504,-0.553,0.505
X256MB_v3_13->X256MB_v4_13,Forest,SCMT2,3.002,156.104,52,78,3575.907,3554.637,37353.923,40555.962,0.096,0.088,0.982,0.016,0.002,0.982,0.016,0.002,0.103,0.104,1221.119,2.74,1145.596,959.952,566.187,-0.154,0.535,-0.123,0.437
X512MB_v3_6->X512MB_v4_6,Forest,SCNMT2,5.622,371.052,66,528,1727.562,1666.567,8179.045,7873.013,0.211,0.212,0.955,0.043,0.001,0.954,0.045,0.001,0.174,0.178,454.601,1.753,140.023,426.654,137.218,-0.441,0.527,-0.377,0.432
X256MB_v2_13->X256MB_v3_13,ForestRuntime,SCNMT2,2.532,1448.304,572,143,4251.172,3701.081,19986.962,17311.063,0.213,0.214,0.944,0.055,0.001,0.98,0.019,0.001,0.262,0.261,432.666,1.73,294.951,238.15,345.686,0.327,0.605,0.316,0.57
X512MB_v2_6->X512MB_v3_6,Regression,SCMT2,4.129,1725.922,418,66,10409.409,5054.061,42191.005,23374.773,0.247,0.216,0.901,0.098,0.001,0.956,0.043,0.001,0.218,0.175,987.668,2.106,519.523,648.711,700.307,0.203,0.4,-0.053,0.669
X2GB_v3->X2GB_v4,ForestRuntime,SCNMT2,3.239,563.586,174,626,518.881,501.646,2484.793,2382.495,0.209,0.211,0.524,0.475,0.001,0.525,0.475,0.001,0.375,0.38,78.927,2.22,51.192,73.713,21.596,0.368,0.536,0.477,0.316
X512MB_v2_6->X512MB_v3_6,ForestRuntime,SCMT2,4.296,1984.752,462,66,11837.439,5054.061,44088.041,23374.773,0.268,0.216,0.901,0.098,0.001,0.956,0.043,0.001,0.236,0.175,1006.167,2.515,598.98,625.382,647.369,0.537,0.496,-0.213,0.544
X256MB_v2_13->X256MB_v3_13,Regression,SCMT2,2.613,1262.079,483,52,21623.391,3575.907,88958.567,37353.923,0.243,0.096,0.948,0.051,0.001,0.982,0.016,0.002,0.073,0.103,955.986,1.783,683.97,682.556,267.094,0.505,0.268,-0.233,0.45
X256MB_v2_13->X256MB_v4_13,Regression,SCMT2,1.85,893.55,483,78,21623.391,3554.637,88958.567,40555.962,0.243,0.088,0.948,0.051,0.001,0.982,0.016,0.002,0.073,0.104,752.948,1.412,586.257,427.67,390.58,0.186,0.343,0.067,0.606
X2GB_v3->X2GB_v4,RegressionRuntime,SCMT2,2.21,388.96,176,627,1285.88,1561.81,6264.006,7251.45,0.205,0.215,0.525,0.474,0.001,0.524,0.475,0.001,0.538,0.554,163.841,1.795,114.332,163.132,70.901,-0.17,0.651,-0.326,0.507
X2GB_v2->X2GB_v3,Regression,SCMT2,2.945,874.665,297,176,2035.06,1285.88,7770.481,6264.006,0.262,0.205,0.586,0.413,0.001,0.525,0.474,0.001,0.628,0.538,173.297,2.557,151.44,139.785,104.229,-0.042,0.532,-0.69,0.511
X2GB_v2->X2GB_v3,ForestRuntime,SCMT2,3.036,901.692,297,176,2035.06,1285.88,7770.481,6264.006,0.262,0.205,0.586,0.413,0.001,0.525,0.474,0.001,0.628,0.538,179.604,2.646,145.289,145.721,110.408,0.105,0.509,-0.572,0.512
X2GB_v3->X2GB_v4,Regression,SCNMT2,3.153,548.622,174,626,518.881,501.646,2484.793,2382.495,0.209,0.211,0.524,0.475,0.001,0.525,0.475,0.001,0.375,0.38,77.185,2.135,50.7,70.788,22.208,0.317,0.557,0.41,0.316
X512MB_v3_6->X512MB_v4_6,Forest,SCMT2,4.29,283.14,66,528,5054.061,5368.692,23374.773,25738.625,0.216,0.209,0.956,0.043,0.001,0.953,0.046,0.001,0.175,0.133,1130.825,1.944,506.927,1035.569,482.306,-0.253,0.645,-0.413,0.533
X256MB_v2_13->X256MB_v3_13,RegressionRuntime,SCMT2,3.861,2208.492,572,143,24706.787,10583.307,91932.035,49079.021,0.269,0.216,0.947,0.051,0.001,0.982,0.017,0.001,0.123,0.293,1847.767,2.644,1249.36,779.101,1836.325,-0.266,0.524,-0.77,0.499
X512MB_v2_6->X512MB_v3_6,Forest,SCNMT2,4.167,1925.154,462,66,2051.422,1727.562,9686.396,8179.045,0.212,0.211,0.895,0.104,0.001,0.955,0.043,0.001,0.208,0.174,353.277,2.509,209.342,270.586,193.059,0.694,0.37,0.175,0.509
